PD_HEADER,UW Program Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_BASIS,Per-Program Quarterly Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SPACER0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_TOTAL,All Programs - Total,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
PD_GULT_9,Gross Ultimate Loss,0,0,0,0,0,12500,75000,225000,525000,837500,952500,1418000,1901600,2361920,6634020,2834304,3401164.8,4081397.76,4897677.312,15214543.872,5877212.7744,7052655.32928,8463186.395136,10155823.6741632,31548878.1729792,54234942.0449792,0
PD_CULT_9,Ceded Ultimate Loss,0,0,0,0,0,-12500,-75000,-225000,-525000,-837500,-952500,-1418000,-1901600,-2361920,-6634020,-2834304,-3401164.8,-4081397.76,-4897677.312,-15214543.872,-5289491.49696,-6347389.796352,-7616867.7556224,-9140241.30674688,-28393990.3556813,-51080054.2276813,0
PD_NULT_9,Net Ultimate Loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587721.277439999,705265.532928,846318.639513599,1015582.36741632,3154887.81729792,3154887.81729792,0
PD_GUWRES_9,Gross UW Result,0,0,0,0,0,6250,37500,112500,262500,418750,476250,709000,950800,1180960,3317010,1417152,1700582.4,2040698.88,2448838.656,7607271.93600001,2938606.3872,3526327.66464,4231593.197568,5077911.8370816,15774439.0864896,27117471.0224896,36989433.3874176
PD_NUWRES_9,Net UW Result,0,0,0,0,0,7812.5,46875,140625,328125,523437.5,595312.5,886250,1188500,1476200,4146262.5,1771440,2125728,2550873.6,3061048.32,9509089.92,3673257.984,4407909.5808,5289491.49696,6347389.796352,19718048.858112,33896838.778112,17878226.1372518
PD_GLR_9,Gross Loss Ratio,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0
PD_NLR_9,Net Loss Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.399999999999999,0.4,0.4,0.4,0
PD_CR_9,Combined Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-1.5,-1.5,-1.5,-1.5,-3.29769180282851,-1.9
PD_RETMGN_9,Retained Margin,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.29
PD_SP_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_10,Other Long Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_GEP_10,Gross Earned Premium,0,0,0,0,0,31250,187500,562500,1312500,2093750,2381250,3545000,4754000,5904800,16585050,7085760,8502912,10203494.4,12244193.28,38036359.68,14693031.936,17631638.3232,21157965.98784,25389559.185408,78872195.432448,135587355.112448,61649055.645696
PD_CEP_10,Ceded Earned Premium,0,0,0,0,0,-31250,-187500,-562500,-1312500,-2093750,-2381250,-3545000,-4754000,-5904800,-16585050,-7085760,-8502912,-10203494.4,-12244193.28,-38036359.68,-13223728.7424,-15868474.49088,-19042169.389056,-22850603.2668672,-70984975.8892032,-127700135.569203,-55484150.0811264
PD_NEP_10,Net Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469303.1936,1763163.83232,2115796.598784,2538955.9185408,7887219.5432448,7887219.5432448,6164905.5645696
PD_GECOMM_10,Gross Commission (Earned),0,0,0,0,0,9375,56250,168750,393750,628125,714375,1063500,1426200,1771440,4975515,2125728,2550873.6,3061048.32,3673257.984,11410907.904,4407909.5808,5289491.49696,6347389.796352,7616867.7556224,23661658.6297344,40676206.5337344,18494716.6937088
PD_CECOMM_10,Less: Ceding Commission,0,0,0,0,0,-12500,-75000,-225000,-525000,-837500,-952500,-1418000,-1901600,-2361920,-6634020,-2834304,-3401164.8,-4081397.76,-4897677.312,-15214543.872,-5289491.49696,-6347389.796352,-7616867.7556224,-9140241.30674688,-28393990.3556813,-51080054.2276813,-22193660.0324506
PD_NCOMM_10,Net Acquisition Cost,0,0,0,0,0,-3125,-18750,-56250,-131250,-209375,-238125,-354500,-475400,-590480,-1658505,-708576,-850291.2,-1020349.44,-1224419.328,-3803635.968,-881581.91616,-1057898.299392,-1269477.9592704,-1523373.55112448,-4732331.72594688,-10403847.6939469,-3698943.33874176
PD_GFFE_10,Less: Fronting Fee (Earned),0,0,0,0,0,-1562.5,-9375,-28125,-65625,-104687.5,-119062.5,-177250,-237700,-295240,-829252.5,-354288,-425145.6,-510174.72,-612209.664,-1901817.984,-734651.5968,-881581.91616,-1057898.299392,-1269477.9592704,-3943609.7716224,-6779367.7556224,-3082452.7822848
PD_NACQ_10,Total Acquisition Cost,0,0,0,0,0,-4687.5,-28125,-84375,-196875,-314062.5,-357187.5,-531750,-713100,-885720,-2487757.5,-1062864,-1275436.8,-1530524.16,-1836628.992,-5705453.952,-1616233.51296,-1939480.215552,-2327376.2586624,-2792851.51039488,-8675941.49756929,-17183215.4495693,-6781396.12102656
PD_CATXOL_10,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_OTHXOL_10,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_10,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_GPAID_10,Gross Paid Losses,0,0,0,0,0,3.1595682038721,142.176717636246,1286.73682206231,6003.76129451583,7435.83440241826,19404.2240309573,49453.9215440029,104402.790653169,190419.228883252,363680.165111381,310932.935702708,466778.018649725,658734.10659303,889467.437489701,2325912.49843516,1163860.42766107,1488976.66124892,1874084.03548934,2330806.02250859,6857727.14690792,9554755.64485688,71797657.4226119
PD_GCRSV_10,Change in Gross Case Reserve,0,0,0,0,0,72.6382378010389,1359.33356254177,7911.33474164954,26806.4045316562,36149.7110736486,68528.7034443446,140376.77008638,240105.807986141,361085.411777586,810096.693294452,494267.95183105,634350.288497269,784420.492468089,950765.041351901,2863803.77414831,1140583.5969017,1361640.36992596,1622442.04206154,1932561.91945608,6057227.92834527,0,-19534556.2137234
PD_GCINC_10,Gross Case Incurred,0,0,0,0,0,75.797806004911,1501.51028017802,9198.07156371186,32810.165826172,43585.5454760668,87932.9274753019,189830.691630383,344508.59863931,551504.640660838,1173776.85840583,805200.887533759,1101128.30714699,1443154.59906112,1840232.4788416,5189716.27258347,2304444.02456277,2850617.03117488,3496526.07755088,4263367.94196467,12914955.0752532,19322033.7517186,62030379.3157502
