,Loss Development Triangles,,,,,,,,,,,,,,,,,,,,,,% of Ultimate,,,,,,,,,,,,,,,,,,,,
,Cumulative Dollar Amounts (left) | Ult + % of Ultimate (right),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Programs -- Gross Paid ($),,,,,,,,,,,,,,,,,,,,,,All Programs -- Gross Paid (%),,,,,,,,,,,,,,,,,,,,
,Exp Qtr,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20,,Ult,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20
,Q3Y1,597960.807529074,786691.677972952,859890.582026996,907891.535470375,943050.909312533,970327.32286276,992253.686751099,1010315.67240433,1025465.75278473,1038353.18971231,1049440.91512527,1059070.49515806,1067500.75351058,1074932.1240858,1081522.6330209,1087398.76638954,1092663.08085719,1097399.66703206,1101678.15507245,1105556.70554019,,1156750,0.516931754941927,0.680087899695657,0.743367695722494,0.784864089449211,0.815259052788012,0.838839267657454,0.857794412579295,0.873408837176861,0.886505945783211,0.897647019418468,0.907232258591109,0.915556944160846,0.922844826894818,0.929269180104428,0.934966615967928,0.940046480561526,0.94459743320267,0.948692169467959,0.952390884004709,0.955743856096983
,Q4Y1,1130621.29912343,1369991.67837596,1484433.2020818,1566125.58809224,1629239.22290796,1680036.27466131,1721986.88910143,1757266.57554652,1787347.49030856,1813278.29641495,1835834.49706609,1855605.95736601,1873051.2888136,1888533.52742964,1902344.36663427,1914721.15036075,1925859.10598807,1935920.34579226,1945040.61508224,1953334.4328468,,2064875,0.547549512257849,0.66347438870438,0.718897367676879,0.758460240010771,0.789025593756503,0.813626139432804,0.833942436758364,0.851028064917501,0.865595975692749,0.878154026958026,0.889077787791557,0.898652924446277,0.907101538259508,0.914599444242215,0.921287906839043,0.92728186953726,0.932675879163662,0.937548445204798,0.94196530786718,0.945981927645404
,Q1Y2,1679222.85050904,1957358.29101696,2077878.80977574,2170851.69896882,2246323.94233479,2309203.92109594,2362489.70221801,2408212.11734154,2447831.66089081,2482440.62142543,2512879.87787714,2539810.92977349,2563762.96878709,2585165.30516376,2604370.2884474,2621669.9715558,2637308.50635446,2651491.54016623,2664393.45294638,2676163.00735906,,2837375,0.591822670781635,0.689848289710369,0.732324352535616,0.765091571952534,0.791690891170463,0.81385221237797,0.832632169599723,0.848746505957633,0.862709955818604,0.874907483651415,0.885635447509454,0.895126985249921,0.903568604356876,0.911111610260808,0.917880184482982,0.923977257696214,0.9294888784015,0.93448752461914,0.939034654547384,0.943182697866534
,Q2Y2,2848063.66252991,3302553.60335666,3500282.95148651,3647044.66460037,3763680.49226523,3859719.09188513,3940573.58215059,4009703.9468717,4069495.35533215,4121679.69000752,4167563.61677524,4208161.27583326,4244276.80773946,4276558.86176764,4305537.90682942,4331652.69522838,4355269.5855506,4376696.99164783,4396196.40194806,4413990.92234878,,4658550,0.611362690650506,0.708923077643615,0.75136747517715,0.78287120769346,0.807908145724577,0.828523701985624,0.84587985148825,0.860719311131511,0.873554079130234,0.884755919762055,0.894605320706065,0.903319976351709,0.911072502761472,0.918002138383755,0.924222753180586,0.929828529312422,0.934898108971805,0.939497695988629,0.943683421225072,0.947503176385094
,Q3Y2,3720178.02871232,4492003.16056313,4832429.94752705,5071199.53189114,5254495.60770526,5402139.70778286,5524646.75299896,5628349.4321636,5717407.99918099,5794731.67624053,5862452.50834593,5922188.72756355,5975201.67651979,6022495.36738174,6064882.38182424,6103029.28322347,6137488.97529417,6168724.40892494,6197126.35643049,6223026.99744235,,6577950,0.565552798168476,0.682888006227339,0.734640723557803,0.770939203230663,0.798804431122958,0.82124973704313,0.839873631298347,0.855638828535273,0.869177783227448,0.880932764195612,0.89122789141692,0.900309173460356,0.908368363474911,0.915558094449142,0.922001897524949,0.927801105697591,0.933039773074312,0.937788278859665,0.942106029451499,0.946043523809446
,Q4Y2,4160371.74622741,5136308.82593268,5588552.27633836,5903297.9598783,6144151.62689501,6338097.11752308,6499194.51780675,6635783.74832911,6753287.94148106,6855478.28103337,6945112.71016802,7024284.84992674,7094628.97424351,7157448.71258846,7213801.65302301,7264557.42252049,7310439.01676835,7352053.09165929,7389912.70951119,7424454.76402785,,7899200,0.52668266991941,0.650231520398607,0.707483324430114,0.747328585157775,0.777819478794689,0.802372027233527,0.822766168448292,0.840057695504495,0.85493315037992,0.867869946454498,0.879217225816287,0.889240030626739,0.898145251955072,0.906097922902124,0.913231928932424,0.919657360558094,0.925465745489208,0.930733883388101,0.935526725429308,0.93989958021418
,Q1Y3,3560357.42140424,4614742.93194233,5129975.18254541,5488765.72632467,5764766.53239511,5988454.90838911,6175409.41516623,6334778.27519274,6472499.8723245,6592720.18835335,6698493.19888659,6792156.79455958,6875551.28939848,6950156.13843459,7017179.91880081,7077622.42671509,7132319.20727066,7181974.48227987,7227186.10296691,7268464.83431306,,7837800,0.454254691546638,0.588780388877278,0.654517234752789,0.700294180296087,0.735508246241944,0.764047935439679,0.78790086697367,0.808234233482959,0.825805694496479,0.841144222658571,0.854639465013982,0.866589705601008,0.877229744239261,0.88674833989571,0.895299691086888,0.903011358635725,0.909989947086002,0.916325305861322,0.922093712899909,0.927360335082939
,Q2Y3,3984477.6086442,5287617.30957593,5918302.95486385,6366162.0966315,6716099.74645808,7002996.40107825,7244774.88703911,7452107.2281225,7632048.07617414,7789615.64020317,7928569.70971793,8051830.16146029,8161722.29108089,8260132.76427581,8348614.02926202,8428457.67435575,8500747.93735497,8566401.88325969,8626200.25539267,8680811.58461605,,9434325,0.422338387605282,0.560465884901775,0.62731599291564,0.674787236673689,0.711879201369264,0.742289077499265,0.767916611632429,0.789892994795335,0.808965991332092,0.82566751094574,0.840396076000978,0.853461181532361,0.865109299402013,0.875540408484529,0.884919061963842,0.893382162937544,0.901044636193365,0.908003686883767,0.914342070619008,0.920130648945849
,Q3Y3,5613426.20557747,7277657.8967728,8093684.87052247,8681569.19067172,9145557.57482581,9528518.537966,9852697.50295197,10131528.3256875,10374022.4620664,10586673.9276607,10774400.1691044,10941051.5883637,11089713.6305667,11222901.4155749,11342691.7635691,11450817.0848092,11548734.5906658,11637678.7181161,11718701.6715203,11792705.2849236,,12814015,0.438069270683503,0.567945167597572,0.631627547690749,0.677505777125415,0.713715223122949,0.743601325421111,0.76890010687142,0.790659939580806,0.809584073537172,0.826179298811553,0.840829370740115,0.853834772970356,0.865436292260209,0.875830207438882,0.885178592624494,0.893616644338971,0.901258082705993,0.908199242635203,0.914522237684311,0.920297446578887
,Q4Y3,6943058.37129781,9080084.67936812,10125766.1576046,10873638.35123,11460982.1987259,11944058.5345228,12351933.8256655,12702070.4853686,13006118.6379384,13272430.3757082,13507300.7945292,13715639.3264442,13901366.8699903,14067670.6076092,14217176.134705,14352069.3240624,14474185.7667141,14585078.244832,14686068.7200918,14778289.0596685,,16049485,0.432603187659779,0.565755516726432,0.630909101295439,0.677506994849369,0.714102801350069,0.744201981217639,0.769615587395205,0.791431655618144,0.810376073620954,0.826969237686331,0.841603378209908,0.85458438862332,0.866156569509256,0.876518505585021,0.885833790598579,0.894238620370831,0.901847365614166,0.908756775985771,0.915049219342039,0.9207952192652
,Q1Y4,7667321.68252277,10139717.6390388,11366359.0950481,12237832.1468494,12919228.335755,13478191.4248561,13949436.3956262,14353641.1847864,14704491.45927,15011736.4122034,15282690.2585234,15523039.0964296,15737314.5936276,15929195.4743178,16101709.761332,16257377.137684,16398312.9635271,16526306.4835273,16642880.9417199,16749340.5946036,,18217945,0.42086644144127,0.556578562457995,0.623910056543048,0.671746025517665,0.709148498129452,0.739830503652093,0.765697579810796,0.787884757846529,0.807143256787194,0.82400821894036,0.83888112838871,0.852074100368047,0.863835882347189,0.874368402930068,0.883837873115326,0.892382600654685,0.900118699640772,0.90714438338283,0.913543264167277,0.91938693385031
