RBC_HEADER,RBC Capital Model,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_BASIS,P&C Risk-Based Capital -- Quarterly Trajectory,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SEC_FACTORS,Risk Charge Factors,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_GOV,Govt Bond Risk Charge,0.003,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_CORP,Corp Bond Risk Charge,0.01,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_MUNI,Muni Bond Risk Charge,0.003,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SEC_CAP,Capital Adequacy,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_ACL,Authorized Control Level,132.5,383655.871558034,459086.442339195,469624.854533259,,887566.369342993,892149.804745756,1168305.03913608,1434552.81338897,,1679463.18635315,2827771.38872872,3200585.12360872,3892607.7160465,,4561978.78691669,5216657.20909927,6640125.23485462,7623115.220954,,9115441.62871906,10587908.4446971,12084993.3841109,15042156.2306624,
RBC_REQCAP,Required Capital (at Target),397.5,1150967.6146741,1377259.32701758,1408874.56359978,,2662699.10802898,2676449.41423727,3504915.11740823,4303658.44016691,,5038389.55905944,8483314.16618616,9601755.37082616,11677823.1481395,,13685936.3607501,15649971.6272978,19920375.7045639,22869345.662862,,27346324.8861572,31763725.3340912,36254980.1523328,45126468.6919873,
RBC_TAC,Total Adjusted Capital,-25000,19449875,19011209.5898438,18690384.4241027,,18388883.4905737,18354458.1661427,18645476.8085373,19222986.5584843,,19132001.6354878,69620836.2716688,71156275.2659101,73465995.2964078,,76016782.6589971,78779004.2095845,82293874.8373818,87181753.3279328,,92894482.2606877,100054705.20113,108046244.269643,117768671.60105,
RBC_RATIO,RBC Ratio,-188.679245283019,50.696148402509,41.4109584525639,39.798541843954,,20.7183193569916,20.5732916921652,15.9594251363711,13.3999852630536,,11.3917362350953,24.6203906543408,22.2322708248047,18.8732080537062,,16.6631162067228,15.101433935926,12.393422100748,11.4364994888563,,10.1908921195891,9.44990275687941,8.94052986505563,7.82924135311041,
RBC_TARGET_LINE,Target Ratio,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,,3,3,3,3,
RBC_SURPLUS,Capital Surplus / (Deficit),-25397.5,18298907.3853259,17633950.2628262,17281509.8605029,,15726184.3825447,15678008.7519054,15140561.691129,14919328.1183174,,14093612.0764284,61137522.1054826,61554519.8950839,61788172.1482683,,62330846.2982471,63129032.5822867,62373499.1328179,64312407.6650708,,65548157.3745306,68290979.8670384,71791264.1173106,72642202.9090624,
RBC_SPACER5,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SEC_THRESH,Regulatory Thresholds,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_CAL,Company Action Level (200%),265,767311.743116068,918172.88467839,939249.709066517,,1775132.73868599,1784299.60949151,2336610.07827215,2869105.62677794,,3358926.3727063,5655542.77745744,6401170.24721744,7785215.432093,,9123957.57383337,10433314.4181985,13280250.4697092,15246230.441908,,18230883.2574381,21175816.8893942,24169986.7682219,30084312.4613249,
RBC_RAL,Regulatory Action Level (150%),198.75,575483.807337051,688629.663508792,704437.281799888,,1331349.55401449,1338224.70711863,1752457.55870412,2151829.22008345,,2519194.77952972,4241657.08309308,4800877.68541308,5838911.57406975,,6842968.18037503,7824985.8136489,9960187.85228193,11434672.831431,,13673162.4430786,15881862.6670456,18127490.0761664,22563234.3459937,
RBC_AUTH,Authorized Control (100%),132.5,383655.871558034,459086.442339195,469624.854533259,,887566.369342993,892149.804745756,1168305.03913608,1434552.81338897,,1679463.18635315,2827771.38872872,3200585.12360872,3892607.7160465,,4561978.78691669,5216657.20909927,6640125.23485462,7623115.220954,,9115441.62871906,10587908.4446971,12084993.3841109,15042156.2306624,
