"EntityName","CalPeriod","CalQuarter","CalYear","G_WP","G_EP","G_WComm","G_EComm","G_WFrontFee","G_EFrontFee","G_Paid","G_CaseRsv","G_CaseInc","G_IBNR","G_Unpaid","G_Ult","G_ClsCt","G_OpenCt","G_RptCt","G_UltCt","C_WP","C_EP","C_WComm","C_EComm","C_WFrontFee","C_EFrontFee","C_Paid","C_CaseRsv","C_CaseInc","C_IBNR","C_Unpaid","C_Ult","C_ClsCt","C_OpenCt","C_RptCt","C_UltCt","N_WP","N_EP","N_WComm","N_EComm","N_WFrontFee","N_EFrontFee","N_Paid","N_CaseRsv","N_CaseInc","N_IBNR","N_Unpaid","N_Ult","N_ClsCt","N_OpenCt","N_RptCt","N_UltCt","G_IBNRCt","G_UnclosedCt","C_IBNRCt","C_UnclosedCt","N_IBNRCt","N_UnclosedCt","CQ_WP","CQ_EP","XC_WP","XC_EP","XO_WP","XO_EP"
"Credit and Surety",166.000000,4.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5799.271115,-2098.311732,3700.959383,-3700.959383,-5799.271115,0.000000,0.501363,-0.217166,0.284197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5219.344003,-1888.480559,3330.863444,-3330.863444,-5219.344003,0.000000,0.501363,-0.217166,0.284197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,579.927111,-209.831173,370.095938,-370.095938,-579.927111,0.000000,0.000000,0.000000,0.000000,0.000000,-0.284197,-0.501363,-0.284197,-0.501363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",167.000000,4.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5691.997418,-2053.818833,3638.178586,-3638.178586,-5691.997418,0.000000,0.492394,-0.213357,0.279037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5122.797676,-1848.436949,3274.360727,-3274.360727,-5122.797676,0.000000,0.492394,-0.213357,0.279037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.199742,-205.381883,363.817859,-363.817859,-569.199742,0.000000,0.000000,0.000000,0.000000,0.000000,-0.279037,-0.492394,-0.279037,-0.492394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",168.000000,4.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5587.320292,-2010.442646,3576.877647,-3576.877647,-5587.320292,0.000000,0.483640,-0.209635,0.274005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5028.588263,-1809.398381,3219.189882,-3219.189882,-5028.588263,0.000000,0.483640,-0.209635,0.274005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.732029,-201.044265,357.687765,-357.687765,-558.732029,0.000000,0.000000,0.000000,0.000000,0.000000,-0.274005,-0.483640,-0.274005,-0.483640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",169.000000,1.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5485.161276,-1968.149851,3517.011424,-3517.011424,-5485.161276,0.000000,0.475095,-0.205998,0.269097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4936.645148,-1771.334866,3165.310282,-3165.310282,-4936.645148,0.000000,0.475095,-0.205998,0.269097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.516128,-196.814985,351.701142,-351.701142,-548.516128,0.000000,0.000000,0.000000,0.000000,0.000000,-0.269097,-0.475095,-0.269097,-0.475095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",170.000000,1.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5385.444765,-1926.908290,3458.536475,-3458.536475,-5385.444765,0.000000,0.466752,-0.202443,0.264309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4846.900288,-1734.217461,3112.682827,-3112.682827,-4846.900288,0.000000,0.466752,-0.202443,0.264309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,538.544476,-192.690829,345.853647,-345.853647,-538.544476,0.000000,0.000000,0.000000,0.000000,0.000000,-0.264309,-0.466752,-0.264309,-0.466752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",171.000000,1.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5288.097892,-1886.686916,3401.410976,-3401.410976,-5288.097892,0.000000,0.458604,-0.198967,0.259637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4759.288103,-1698.018224,3061.269878,-3061.269878,-4759.288103,0.000000,0.458604,-0.198967,0.259637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,528.809789,-188.668692,340.141098,-340.141098,-528.809789,0.000000,0.000000,0.000000,0.000000,0.000000,-0.259637,-0.458604,-0.259637,-0.458604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",172.000000,2.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5193.050410,-1847.455752,3345.594658,-3345.594658,-5193.050410,0.000000,0.450647,-0.195569,0.255078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4673.745369,-1662.710176,3011.035192,-3011.035192,-4673.745369,0.000000,0.450647,-0.195569,0.255078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,519.305041,-184.745575,334.559466,-334.559466,-519.305041,0.000000,0.000000,0.000000,0.000000,0.000000,-0.255078,-0.450647,-0.255078,-0.450647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",173.000000,2.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5100.234579,-1809.185848,3291.048731,-3291.048731,-5100.234579,0.000000,0.442874,-0.192247,0.250627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4590.211121,-1628.267263,2961.943858,-2961.943858,-4590.211121,0.000000,0.442874,-0.192247,0.250627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,510.023458,-180.918585,329.104873,-329.104873,-510.023458,0.000000,0.000000,0.000000,0.000000,0.000000,-0.250627,-0.442874,-0.250627,-0.442874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",174.000000,2.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5009.585065,-1771.849242,3237.735823,-3237.735823,-5009.585065,0.000000,0.435281,-0.188998,0.246283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4508.626559,-1594.664318,2913.962241,-2913.962241,-4508.626559,0.000000,0.435281,-0.188998,0.246283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.958507,-177.184924,323.773582,-323.773582,-500.958507,0.000000,0.000000,0.000000,0.000000,0.000000,-0.246283,-0.435281,-0.246283,-0.435281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",175.000000,3.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4921.038838,-1735.418922,3185.619916,-3185.619916,-4921.038838,0.000000,0.427861,-0.185820,0.242041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4428.934954,-1561.877029,2867.057925,-2867.057925,-4428.934954,0.000000,0.427861,-0.185820,0.242041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,492.103884,-173.541892,318.561992,-318.561992,-492.103884,0.000000,0.000000,0.000000,0.000000,0.000000,-0.242041,-0.427861,-0.242041,-0.427861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",176.000000,3.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4834.535075,-1699.868785,3134.666290,-3134.666290,-4834.535075,0.000000,0.420610,-0.182711,0.237899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4351.081567,-1529.881906,2821.199661,-2821.199661,-4351.081567,0.000000,0.420610,-0.182711,0.237899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,483.453507,-169.986878,313.466629,-313.466629,-483.453507,0.000000,0.000000,0.000000,0.000000,0.000000,-0.237899,-0.420610,-0.237899,-0.420610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
